Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Sprint,Custom field (Story Points),Custom field (Story point estimate),Time Spent,Status,Due date,Parent,Parent key,Parent summary
Task,TTCN-701,13838,[MB] App Ops hiện trường - Yêu cầu sang tải cẩu cont,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,01/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-669,13799,[MB] App Ops hiện trường - Cập nhật thông tin cá nhân,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,10800,Ready for Test,02/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-661,13791,[MB] App Ops hiện trường - Cập nhật phiên bản ứng dụng,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,7200,Ready for Test,02/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-659,13789,[MB] App Ops hiện trường - Quên mật khẩu,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,02/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-604,13694,[MB] App điều phối an ninh - Setup project,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,3.0,3.0,18000,Ready for Test,02/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-597,13687,[MB] App điều phối an ninh - Chi tiết tài khoản cá nhân,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,01/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-596,13686,[MB] App điều phối an ninh - Danh sách cảnh báo & xử lý,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,02/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-595,13685,[MB] App điều phối an ninh - Cập nhật hành trình xe,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,3.0,3.0,18000,Ready for Test,01/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-594,13684,[MB] App điều phối an ninh - Chi tiết hành trình xe,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,7200,Ready for Test,01/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-593,13683,[MB] App điều phối an ninh - Lọc danh sách hành trình xe,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,1.0,1.0,3600,Ready for Test,01/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-592,13682,[MB] App điều phối an ninh - Danh sách hành trình xe,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,7200,Ready for Test,01/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-591,13681,[MB] App điều phối an ninh - Đăng nhập/đăng xuất,MB - Bình,712020:5713ee94-2350-4bc2-b516-c840bdcb1872,Control Tower - MVP,2.0,2.0,10800,Ready for Test,01/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-872,14053,[BE] App Ops Hiện trường - Bổ sung data thể hiện 'Trạng thái thả xe',nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,1.0,1.0,,Ready for Test,28/Apr/26 12:00 AM,,,
Task,TTCN-713,13850,[FE] Web app Điều hành - Đăng nhập & Đăng xuất,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,2.0,,Ready for Test,19/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-712,13849,[FE] Web app điều hành - Xử lý layout TV,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,2.0,,Ready for Test,19/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-711,13848,[FE] Web app điều hành - Cảnh báo vận hành & bộ lọc,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,2.0,,Ready for Test,19/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-710,13847,[FE] Web app điều hành - Báo cáo bến bãi,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,2.0,,Ready for Test,19/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-709,13846,[FE] Web app điều hành - Phân khu cho xe,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,2.0,,Ready for Test,19/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-708,13845,[FE] Web app điều hành - Chi tiết hành trình xe,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,2.0,,Ready for Test,19/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-707,13844,[FE] Web app Điều hành - Danh sách hành trình & bộ lọc,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,2.0,,Ready for Test,19/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-706,13843,[FE] Web app Điều hành - Tổng quan,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,3.0,2.0,,Ready for Test,19/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-704,13841,[FE] Web app Tài xế,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,2.0,,Ready for Test,19/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-517,13574,[FE] Web app CSKH - Chi tiết dịch vụ -> Cập nhật thủ tục,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,3.0,,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-516,13573,[FE] Web app CSKH - Chi tiết dịch vụ -> cập nhật xe,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,3.0,,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-515,13572,[FE] Web app CSKH - Chỉnh sửa dịch vụ,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,3.0,,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-514,13571,[FE] Web app CSKH - Chi tiết dịch vụ,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,3.0,,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-513,13570,[FE]  Web app CSKH - Danh sách dịch vụ,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,1.0,3.0,,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-481,13506,[FE] Web app CSKH - Chỉnh sửa dịch vụ,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,3.0,,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-480,13505,[FE] Web app CSKH - Chi tiết dịch vụ,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,3.0,3.0,,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-479,13504,[FE] Web app CSKH - Quản lý dịch vụ,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,1.0,5.0,,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-478,13503,[FE] Web app CSKH - Cập nhật mốc hành trình,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,3.0,,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-477,13502,[FE] Web app CSKH - Quản lý hành trình,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,1.0,5.0,,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-471,13496,[FE] Web app CSKH - Chỉnh sửa kế hoạch booking,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,5.0,,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-470,13495,[FE] Web app CSKH - Xem chi tiết kế hoạch booking,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,2.0,,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-465,13490,[FE] Web app CSKH - Tính năng tạo mới kế hoạch,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,5.0,,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-464,13489,[FE] Web app CSKH - Danh sách kế hoạch,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,3.0,,Ready for Test,27/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-423,13414,[FE] Dựng các reuse component,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,2.0,5.0,,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-422,13413,[FE] Dựng Layout tổng thể Web booking,nguyễn ngọc thắng,70121:2493b85e-55eb-4f1b-b68b-5fec2fec87c5,Control Tower - MVP,3.0,5.0,28800,Ready for Test,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-781,13930,"[FE] Web admin - Cập nhật ""Mức ưu tiên"" trong chi tiết dịch vụ lõi",Pham Anh Tuấn,5e96c3877c993c0c1519bffa,Control Tower - MVP,1.0,1.0,3600,Ready for Test,07/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-780,13929,"[FE] Web admin - Cập nhật ""Mức ưu tiên"" trong chi tiết dịch vụ cẩu cont",Pham Anh Tuấn,5e96c3877c993c0c1519bffa,Control Tower - MVP,1.0,1.0,3600,Ready for Test,07/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-779,13928,"[FE] Web admin - Bổ sung tính năng ""Thêm địa điểm sang tải"" cho dịch vụ luồng nhanh",Pham Anh Tuấn,5e96c3877c993c0c1519bffa,Control Tower - MVP,2.0,2.0,10800,Ready for Test,07/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-729,13866,"[FE] Web admin - Bổ sung cột ""Mức ưu tiên"" tại danh sách dịch vụ",Pham Anh Tuấn,5e96c3877c993c0c1519bffa,Control Tower - MVP,1.0,1.0,3600,Ready for Test,07/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-728,13865,"[FE] Web admin - Bổ sung bộ lọc ""Mức ưu tiên"" tại danh sách dịch vụ",Pham Anh Tuấn,5e96c3877c993c0c1519bffa,Control Tower - MVP,1.0,1.0,7200,Ready for Test,07/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
Task,TTCN-421,13412,[FE] Setup hệ thống,Pham Anh Tuấn,5e96c3877c993c0c1519bffa,Control Tower - MVP,3.0,5.0,,Done,28/Apr/26 12:00 AM,13096,TTCN-333,Control Tower - MVP
